A	B	C	b_limite	Volumen	Area
4.100000	0.900000	4.200000	5.868000	87.394540	122.170000
4.100000	0.900000	4.300000	5.940000	103.713200	133.816500
4.200000	0.900000	4.300000	6.010000	93.539760	127.913800
4.300000	0.900000	4.300000	6.080000	82.950000	119.565700
4.300000	0.900000	4.400000	6.152000	99.965870	133.788600
4.400000	0.900000	4.400000	6.222000	88.872990	125.204300
4.400000	0.900000	4.500000	6.292000	106.679300	139.749900
4.500000	0.900000	4.500000	6.362000	95.071210	130.929500
4.500000	0.900000	4.600000	6.434000	113.685900	145.885500
4.600000	0.900000	4.600000	6.504000	101.551400	136.827100
4.600000	0.900000	4.700000	6.576000	120.992400	152.151900
4.700000	0.900000	4.700000	6.646000	108.319400	142.854600
4.800000	0.900000	4.800000	6.788000	115.381700	149.011900
4.900000	0.900000	4.900000	6.928000	122.744200	155.251800
3.700000	1.000000	3.800000	5.302000	80.859840	113.911600
3.800000	1.000000	3.900000	5.444000	87.137050	119.837200
3.900000	1.000000	4.000000	5.586000	93.730030	125.911800
